id,value,count
TEST_00056,[],0
TEST_00057,"[[2720, 3300]]",1
TEST_00058,"[[510, 2490]]",1
TEST_00059,"[[1660, 3180]]",1
TEST_00060,"[[0, 4980]]",1
TEST_00061,"[[0, 590], [1610, 2310]]",2
TEST_00062,"[[0, 1490], [1780, 4980]]",2
TEST_00063,"[[80, 4980]]",1
TEST_00064,"[[0, 4980]]",1
TEST_00065,"[[0, 4980]]",1
TEST_00066,"[[0, 4990]]",1
TEST_00067,"[[0, 1190], [1470, 4980]]",2
TEST_00068,"[[0, 5000]]",1
TEST_00069,"[[0, 4980]]",1
TEST_00070,"[[0, 4980]]",1
TEST_00071,"[[0, 4990]]",1
TEST_00072,"[[0, 1250], [3590, 4980]]",2
TEST_00073,"[[0, 5010]]",1
TEST_00074,"[[160, 5000]]",1
TEST_00075,[],0
TEST_00076,"[[550, 3460]]",1
TEST_00077,"[[870, 4360]]",1
TEST_00078,"[[1610, 4980]]",1
TEST_00079,"[[1900, 2790], [3070, 4980]]",2
TEST_00080,"[[180, 5010]]",1
TEST_00081,"[[880, 4990]]",1
TEST_00082,"[[50, 3810], [4360, 4980]]",2
TEST_00083,"[[0, 1360]]",1
TEST_00084,"[[0, 4980]]",1
TEST_00085,"[[0, 5000]]",1
TEST_00086,"[[0, 4980]]",1
TEST_00087,"[[0, 4980]]",1
TEST_00088,[],0
TEST_00089,"[[0, 4980]]",1
TEST_00090,"[[0, 4980]]",1
TEST_00091,[],0
TEST_00092,"[[0, 4990]]",1
TEST_00093,"[[290, 2120], [2420, 3280], [4070, 4980]]",3
TEST_00094,"[[0, 4980]]",1
TEST_00095,"[[0, 5000]]",1
TEST_00096,"[[90, 4980]]",1
TEST_00097,[],0
TEST_00098,"[[0, 4980]]",1
TEST_00099,"[[0, 4980]]",1
TEST_00100,"[[0, 4980]]",1
TEST_00101,"[[0, 420]]",1
TEST_00102,"[[2380, 3810]]",1
TEST_00103,"[[550, 2780]]",1
TEST_00104,"[[0, 4980]]",1
TEST_00105,"[[0, 5000]]",1
TEST_00106,"[[0, 1040], [1450, 4090]]",2
TEST_00107,"[[340, 3450]]",1
TEST_00108,[],0
TEST_00109,"[[80, 730], [1170, 1860], [2160, 2880], [3670, 4980]]",4
TEST_00110,"[[1840, 3370]]",1
TEST_00111,"[[0, 4980]]",1
TEST_00112,"[[190, 3730]]",1
TEST_00113,"[[0, 4980]]",1
TEST_00114,"[[0, 4980]]",1
TEST_00115,"[[0, 4980]]",1
TEST_00116,"[[0, 4980]]",1
TEST_00117,"[[0, 4980]]",1
TEST_00118,"[[0, 4980]]",1
TEST_00119,"[[0, 1530], [1810, 5000]]",2
TEST_00120,"[[150, 4980]]",1
TEST_00121,"[[0, 4990]]",1
TEST_00122,"[[0, 1740]]",1
TEST_00123,"[[1140, 4070]]",1
TEST_00124,"[[560, 3630]]",1
TEST_00125,"[[0, 4980]]",1
TEST_00126,"[[0, 4980]]",1
TEST_00127,"[[20, 4980]]",1
TEST_00128,"[[0, 4980]]",1
TEST_00129,"[[0, 500]]",1
TEST_00130,"[[0, 4980]]",1
TEST_00131,"[[200, 960]]",1
TEST_00132,[],0
TEST_00133,"[[570, 3960]]",1
TEST_00134,"[[560, 3420], [4080, 4980]]",2
TEST_00135,"[[940, 5000]]",1
TEST_00136,"[[0, 3110], [3560, 4430]]",2
TEST_00137,"[[80, 4980]]",1
TEST_00138,"[[0, 5000]]",1
TEST_00139,"[[0, 4980]]",1
TEST_00140,"[[1990, 4980]]",1
TEST_00141,"[[330, 1780]]",1
TEST_00142,"[[1030, 4980]]",1
TEST_00143,"[[1990, 4990]]",1
TEST_00144,"[[540, 1280], [2230, 3350], [3630, 4380]]",3
TEST_00145,"[[0, 880], [3370, 4990]]",2
TEST_00146,"[[0, 4980]]",1
TEST_00147,"[[150, 1770], [2240, 4980]]",2
TEST_00148,"[[0, 3630]]",1
TEST_00149,"[[0, 4990]]",1
TEST_00150,"[[0, 4980]]",1
TEST_00151,"[[0, 5010]]",1
TEST_00152,[],0
TEST_00153,"[[0, 4980]]",1
TEST_00154,"[[0, 4980]]",1
TEST_00155,"[[0, 550], [1160, 2540], [2930, 4980]]",3
TEST_00156,"[[0, 4980]]",1
TEST_00157,"[[0, 1470], [1750, 4080]]",2
TEST_00158,"[[350, 4980]]",1
TEST_00159,"[[270, 4980]]",1
TEST_00160,"[[60, 3770]]",1
TEST_00161,"[[1240, 4200]]",1
TEST_00162,"[[0, 4370]]",1
TEST_00163,[],0
TEST_00164,"[[1810, 2510]]",1
TEST_00165,"[[3430, 4990]]",1
TEST_00166,"[[0, 4980]]",1
TEST_00167,"[[0, 4390]]",1
TEST_00168,"[[0, 5010]]",1
TEST_00169,"[[0, 4980]]",1
TEST_00170,"[[340, 4980]]",1
TEST_00171,"[[0, 4980]]",1
TEST_00172,"[[2650, 3730]]",1
TEST_00173,"[[0, 3380]]",1
TEST_00174,"[[90, 3410], [3890, 4980]]",2
TEST_00175,"[[0, 4990]]",1
TEST_00176,"[[0, 5000]]",1
TEST_00177,"[[100, 1180], [2420, 3380]]",2
TEST_00178,"[[0, 2910], [3200, 4980]]",2
TEST_00179,"[[0, 4990]]",1
TEST_00180,"[[0, 4980]]",1
TEST_00181,"[[2960, 4980]]",1
TEST_00182,"[[310, 3030]]",1
TEST_00183,"[[0, 4980]]",1
TEST_00184,"[[0, 4980]]",1
TEST_00185,"[[10, 2110]]",1
TEST_00186,"[[0, 5000]]",1
TEST_00187,"[[570, 2220]]",1
TEST_00188,"[[0, 4980]]",1
TEST_00189,"[[0, 4980]]",1
TEST_00190,"[[0, 1290], [2510, 4980]]",2
TEST_00191,"[[0, 1420]]",1
TEST_00192,"[[0, 4990]]",1
TEST_00193,[],0
TEST_00194,"[[1850, 4260]]",1
TEST_00195,"[[0, 3560]]",1
TEST_00196,"[[0, 4980]]",1
TEST_00197,"[[0, 4210]]",1
TEST_00198,"[[0, 5010]]",1
TEST_00199,"[[0, 4980]]",1
TEST_00200,"[[110, 4990]]",1
TEST_00201,"[[190, 4980]]",1
TEST_00202,"[[0, 4980]]",1
TEST_00203,"[[1080, 3050]]",1
TEST_00204,"[[1200, 4990]]",1
TEST_00205,"[[1680, 4190]]",1
TEST_00206,"[[0, 4980]]",1
TEST_00207,"[[0, 4980]]",1
TEST_00208,"[[0, 4990]]",1
TEST_00209,"[[0, 2320], [2860, 4980]]",2
TEST_00210,"[[0, 4990]]",1
TEST_00211,"[[850, 2760], [3260, 4980]]",2
TEST_00212,"[[0, 4980]]",1
TEST_00213,"[[0, 4990]]",1
TEST_00214,"[[0, 4990]]",1
TEST_00215,"[[3100, 4070]]",1
TEST_00216,"[[0, 4980]]",1
TEST_00217,"[[0, 4990]]",1
TEST_00218,[],0
TEST_00219,"[[1540, 3560]]",1
TEST_00220,"[[700, 4980]]",1
TEST_00221,"[[1500, 2300], [2620, 3400]]",2
TEST_00222,"[[50, 5010]]",1
TEST_00223,"[[0, 4990]]",1
TEST_00224,[],0
TEST_00225,"[[0, 560], [1320, 1870]]",2
TEST_00226,"[[0, 2980], [3270, 4980]]",2
TEST_00227,"[[0, 5010]]",1
TEST_00228,"[[350, 4000]]",1
TEST_00229,"[[1990, 3550]]",1
TEST_00230,"[[0, 4390]]",1
TEST_00231,"[[4340, 4980]]",1
TEST_00232,"[[0, 4980]]",1
TEST_00233,"[[0, 4980]]",1
TEST_00234,"[[0, 5000]]",1
TEST_00235,"[[240, 4980]]",1
TEST_00236,"[[0, 4980]]",1
TEST_00237,"[[0, 4980]]",1
TEST_00238,"[[0, 4980]]",1
TEST_00239,[],0
TEST_00240,"[[330, 5010]]",1
TEST_00241,"[[470, 1480], [1760, 2380], [2660, 3280], [3620, 4980]]",4
TEST_00242,"[[890, 4230]]",1
TEST_00243,"[[0, 4990]]",1
TEST_00244,"[[0, 4990]]",1
TEST_00245,"[[0, 4980]]",1
TEST_00246,"[[110, 860], [1160, 4980]]",2
TEST_00247,"[[380, 1560], [2260, 4980]]",2
TEST_00248,"[[70, 4980]]",1
TEST_00249,[],0
TEST_00250,"[[0, 3570]]",1
TEST_00251,"[[470, 3040]]",1
TEST_00252,"[[350, 5010]]",1
TEST_00253,[],0
TEST_00254,"[[0, 5010]]",1
TEST_00255,"[[0, 1520], [3980, 4980]]",2
TEST_00256,"[[0, 5000]]",1
TEST_00257,[],0
TEST_00258,"[[790, 4320]]",1
TEST_00259,[],0
TEST_00260,"[[40, 2670]]",1
TEST_00261,"[[2090, 4980]]",1
TEST_00262,[],0
TEST_00263,"[[0, 4980]]",1
TEST_00264,"[[0, 4990]]",1
TEST_00265,"[[0, 4980]]",1
TEST_00266,"[[40, 3840]]",1
TEST_00267,[],0
TEST_00268,"[[120, 3650]]",1
TEST_00269,"[[0, 4990]]",1
TEST_00270,"[[1160, 4260]]",1
TEST_00271,"[[170, 4980]]",1
TEST_00272,[],0
TEST_00273,"[[1090, 2860]]",1
TEST_00274,"[[0, 4980]]",1
TEST_00275,"[[3140, 5010]]",1
TEST_00276,"[[0, 4980]]",1
TEST_00277,"[[0, 4990]]",1
TEST_00278,"[[150, 4990]]",1
TEST_00279,"[[1560, 5000]]",1
TEST_00280,"[[0, 4980]]",1
TEST_00281,"[[0, 4980]]",1
TEST_00282,"[[0, 3850]]",1
TEST_00283,"[[0, 4980]]",1
TEST_00284,"[[0, 5010]]",1
TEST_00285,"[[2080, 4150]]",1
TEST_00286,"[[0, 970], [1250, 4980]]",2
TEST_00287,[],0
TEST_00288,"[[1210, 3650]]",1
TEST_00289,[],0
TEST_00290,[],0
TEST_00291,"[[750, 4980]]",1
TEST_00292,"[[2080, 4980]]",1
TEST_00293,"[[3640, 5010]]",1
TEST_00294,"[[190, 3650]]",1
TEST_00295,[],0
TEST_00296,"[[0, 4980]]",1
TEST_00297,"[[0, 4980]]",1
TEST_00298,"[[0, 5010]]",1
TEST_00299,"[[400, 4980]]",1
TEST_00300,"[[0, 3320]]",1
TEST_00301,[],0
TEST_00302,"[[2360, 5010]]",1
TEST_00303,"[[0, 5000]]",1
TEST_00304,"[[80, 2420], [3260, 3840]]",2
TEST_00305,"[[0, 4980]]",1
TEST_00306,"[[0, 4980]]",1
TEST_00307,"[[0, 4130]]",1
TEST_00308,"[[0, 4340]]",1
TEST_00309,"[[1610, 3890]]",1
TEST_00310,"[[0, 2940]]",1
TEST_00311,"[[590, 4990]]",1
TEST_00312,"[[0, 4980]]",1
TEST_00313,"[[2770, 4980]]",1
TEST_00314,"[[680, 2910]]",1
TEST_00315,"[[0, 4980]]",1
TEST_00316,"[[0, 4990]]",1
TEST_00317,[],0
TEST_00318,"[[100, 2100]]",1
TEST_00319,"[[0, 3710]]",1
TEST_00320,"[[0, 4980]]",1
TEST_00321,"[[0, 4980]]",1
TEST_00322,"[[400, 1810], [3470, 4260], [4560, 4980]]",3
TEST_00323,"[[0, 1580], [3360, 5010]]",2
TEST_00324,"[[0, 4980]]",1
TEST_00325,"[[0, 4980]]",1
TEST_00326,"[[910, 4980]]",1
TEST_00327,[],0
TEST_00328,"[[0, 4990]]",1
TEST_00329,"[[410, 3490]]",1
TEST_00330,"[[0, 4980]]",1
TEST_00331,"[[0, 4990]]",1
TEST_00332,"[[0, 4980]]",1
TEST_00333,"[[40, 1440], [2020, 2900]]",2
TEST_00334,"[[0, 4980]]",1
TEST_00335,"[[0, 5010]]",1
TEST_00336,"[[1640, 3140]]",1
TEST_00337,"[[0, 4990]]",1
TEST_00338,"[[510, 1140]]",1
TEST_00339,"[[1340, 4360]]",1
TEST_00340,"[[0, 630]]",1
TEST_00341,"[[1660, 3940]]",1
TEST_00342,"[[0, 4980]]",1
TEST_00343,"[[0, 5010]]",1
TEST_00344,"[[0, 4990]]",1
TEST_00345,"[[0, 4980]]",1
TEST_00346,"[[0, 3840]]",1
TEST_00347,"[[0, 4980]]",1
TEST_00348,"[[3630, 5010]]",1
TEST_00349,"[[0, 4980]]",1
TEST_00350,"[[150, 4980]]",1
TEST_00351,"[[490, 1970], [2450, 3990]]",2
TEST_00352,"[[0, 5000]]",1
TEST_00353,[],0
TEST_00354,"[[0, 4980]]",1
TEST_00355,"[[10, 4980]]",1
TEST_00356,"[[380, 4270]]",1
TEST_00357,"[[0, 4980]]",1
TEST_00358,"[[0, 1490], [1820, 5010]]",2
TEST_00359,"[[0, 4980]]",1
TEST_00360,"[[0, 5010]]",1
TEST_00361,"[[0, 4990]]",1
TEST_00362,"[[0, 4980]]",1
TEST_00363,"[[0, 4990]]",1
TEST_00364,"[[0, 4980]]",1
TEST_00365,"[[0, 4980]]",1
TEST_00366,[],0
TEST_00367,[],0
TEST_00368,"[[0, 4980]]",1
TEST_00369,"[[0, 4980]]",1
TEST_00370,[],0
TEST_00371,"[[0, 4980]]",1
TEST_00372,[],0
TEST_00373,"[[70, 2360]]",1
TEST_00374,"[[0, 4990]]",1
TEST_00375,"[[0, 2360], [2650, 4980]]",2
TEST_00376,[],0
TEST_00377,"[[0, 5010]]",1
TEST_00378,"[[0, 4980]]",1
TEST_00379,"[[500, 4990]]",1
TEST_00380,"[[0, 4980]]",1
TEST_00381,"[[0, 4980]]",1
TEST_00382,"[[110, 5000]]",1
TEST_00383,"[[1230, 3450]]",1
TEST_00384,"[[1900, 3110]]",1
TEST_00385,"[[0, 4980]]",1
TEST_00386,"[[0, 4990]]",1
TEST_00387,"[[0, 5000]]",1
TEST_00388,"[[0, 4980]]",1
TEST_00389,"[[2220, 4990]]",1
TEST_00390,"[[1050, 1580], [1860, 3110], [3990, 4980]]",3
TEST_00391,"[[0, 4980]]",1
TEST_00392,[],0
TEST_00393,"[[0, 5000]]",1
TEST_00394,"[[2970, 5000]]",1
TEST_00395,"[[0, 3050], [3820, 4430]]",2
TEST_00396,[],0
TEST_00397,"[[1280, 2170]]",1
TEST_00398,[],0
TEST_00399,"[[0, 3570]]",1
TEST_00400,"[[0, 4980]]",1
TEST_00401,"[[0, 5000]]",1
TEST_00402,[],0
TEST_00403,"[[1670, 4980]]",1
TEST_00404,[],0
TEST_00405,"[[0, 3660]]",1
TEST_00406,"[[0, 3620]]",1
TEST_00407,"[[3050, 4230]]",1
TEST_00408,"[[3440, 4130]]",1
TEST_00409,"[[910, 3180]]",1
TEST_00410,[],0
TEST_00411,[],0
TEST_00412,"[[0, 4980]]",1
TEST_00413,"[[320, 4990]]",1
TEST_00414,"[[1200, 3230]]",1
TEST_00415,"[[0, 4980]]",1
TEST_00416,[],0
TEST_00417,[],0
TEST_00418,"[[0, 4990]]",1
TEST_00419,"[[0, 4980]]",1
TEST_00420,"[[0, 1600], [2540, 4980]]",2
TEST_00421,"[[0, 1710], [2000, 4980]]",2
TEST_00422,"[[0, 4990]]",1
TEST_00423,"[[0, 660]]",1
TEST_00424,"[[430, 5000]]",1
TEST_00425,"[[120, 1460], [1860, 2610], [2930, 4980]]",3
TEST_00426,"[[0, 4190], [4470, 4980]]",2
TEST_00427,"[[0, 5000]]",1
TEST_00428,"[[0, 4990]]",1
TEST_00429,"[[2160, 4990]]",1
TEST_00430,"[[0, 4980]]",1
TEST_00431,"[[2360, 3770]]",1
TEST_00432,"[[0, 4980]]",1
TEST_00433,"[[0, 4980]]",1
TEST_00434,"[[2220, 4110]]",1
TEST_00435,"[[550, 3430]]",1
TEST_00436,"[[580, 3230]]",1
TEST_00437,"[[0, 4980]]",1
TEST_00438,"[[0, 4980]]",1
TEST_00439,"[[0, 4980]]",1
TEST_00440,"[[190, 4980]]",1
TEST_00441,[],0
TEST_00442,"[[430, 4990]]",1
TEST_00443,[],0
TEST_00444,[],0
TEST_00445,"[[0, 4980]]",1
TEST_00446,"[[0, 4980]]",1
TEST_00447,"[[690, 4090]]",1
TEST_00448,[],0
TEST_00449,"[[0, 5000]]",1
TEST_00450,"[[700, 4390]]",1
TEST_00451,"[[0, 4980]]",1
TEST_00452,"[[0, 480], [1370, 2050]]",2
TEST_00453,"[[0, 4980]]",1
TEST_00454,[],0
TEST_00455,"[[0, 4170]]",1
TEST_00456,"[[140, 4980]]",1
TEST_00457,"[[0, 4980]]",1
TEST_00458,[],0
TEST_00459,"[[810, 5010]]",1
TEST_00460,"[[0, 4980]]",1
TEST_00461,"[[210, 4980]]",1
TEST_00462,[],0
TEST_00463,"[[1520, 2380], [2990, 4400]]",2
TEST_00464,[],0
TEST_00465,"[[0, 4980]]",1
TEST_00466,"[[0, 5010]]",1
TEST_00467,[],0
TEST_00468,"[[3590, 4160]]",1
TEST_00469,"[[220, 1500], [1970, 3370], [3740, 4380]]",3
TEST_00470,"[[0, 5010]]",1
TEST_00471,[],0
TEST_00472,"[[20, 1530]]",1
TEST_00473,"[[0, 5010]]",1
TEST_00474,"[[450, 2720], [3120, 4980]]",2
TEST_00475,"[[0, 4990]]",1
TEST_00476,[],0
TEST_00477,"[[70, 5000]]",1
TEST_00478,"[[0, 3980]]",1
TEST_00479,"[[330, 5000]]",1
TEST_00480,"[[0, 4980]]",1
TEST_00481,"[[0, 4980]]",1
TEST_00482,"[[0, 1740], [3400, 4980]]",2
TEST_00483,"[[0, 5010]]",1
TEST_00484,"[[0, 4980]]",1
TEST_00485,"[[0, 4980]]",1
TEST_00486,[],0
TEST_00487,"[[120, 1340], [2010, 4990]]",2
TEST_00488,"[[2940, 4990]]",1
TEST_00489,"[[0, 4980]]",1
TEST_00490,"[[810, 2850]]",1
TEST_00491,"[[0, 5000]]",1
TEST_00492,"[[2820, 4980]]",1
TEST_00493,[],0
TEST_00494,"[[0, 4980]]",1
TEST_00495,"[[1730, 3600], [4300, 4980]]",2
TEST_00496,[],0
TEST_00497,[],0
TEST_00498,[],0
TEST_00499,"[[0, 4980]]",1
TEST_00500,"[[240, 4980]]",1
TEST_00501,"[[0, 2040], [2680, 4980]]",2
TEST_00502,[],0
TEST_00503,"[[1310, 5000]]",1
TEST_00504,[],0
TEST_00505,"[[0, 2230], [2950, 3680]]",2
TEST_00506,"[[0, 4400]]",1
TEST_00507,"[[0, 4990]]",1
TEST_00508,"[[0, 680], [960, 4980]]",2
TEST_00509,"[[0, 4980]]",1
TEST_00510,"[[310, 2010], [2310, 3640], [4100, 4980]]",3
TEST_00511,"[[0, 4990]]",1
TEST_00512,"[[0, 4980]]",1
TEST_00513,[],0
TEST_00514,"[[0, 1670], [2610, 4980]]",2
TEST_00515,"[[0, 5000]]",1
TEST_00516,"[[0, 4980]]",1
TEST_00517,[],0
TEST_00518,"[[580, 5000]]",1
TEST_00519,"[[0, 4980]]",1
TEST_00520,[],0
TEST_00521,"[[0, 5000]]",1
TEST_00522,"[[0, 4990]]",1
TEST_00523,[],0
TEST_00524,[],0
TEST_00525,"[[0, 1820], [2360, 4980]]",2
TEST_00526,"[[1070, 3560], [4370, 4980]]",2
TEST_00527,"[[330, 2330]]",1
TEST_00528,"[[0, 5010]]",1
TEST_00529,[],0
TEST_00530,"[[0, 4980]]",1
TEST_00531,"[[770, 4380]]",1
TEST_00532,"[[0, 4980]]",1
TEST_00533,"[[110, 4990]]",1
TEST_00534,"[[0, 3190]]",1
TEST_00535,"[[300, 1550]]",1
TEST_00536,"[[0, 4990]]",1
TEST_00537,"[[440, 3910]]",1
TEST_00538,"[[0, 4980]]",1
TEST_00539,"[[1050, 5010]]",1
TEST_00540,"[[550, 5010]]",1
TEST_00541,"[[710, 3440]]",1
TEST_00542,"[[1260, 5000]]",1
TEST_00543,"[[0, 4980]]",1
TEST_00544,"[[0, 4980]]",1
TEST_00545,"[[0, 3010]]",1
TEST_00546,[],0
TEST_00547,"[[0, 4980]]",1
TEST_00548,"[[0, 4990]]",1
TEST_00549,"[[0, 4980]]",1
TEST_00550,"[[0, 4990]]",1
TEST_00551,"[[0, 4980]]",1
TEST_00552,"[[0, 4990]]",1
TEST_00553,[],0
TEST_00554,"[[0, 4370]]",1
TEST_00555,"[[0, 4980]]",1
TEST_00556,"[[0, 4980]]",1
TEST_00557,"[[0, 5010]]",1
TEST_00558,"[[0, 4980]]",1
TEST_00559,"[[0, 4980]]",1
TEST_00560,"[[150, 750], [1030, 4980]]",2
TEST_00561,"[[0, 5010]]",1
TEST_00562,"[[0, 4980]]",1
TEST_00563,"[[830, 4980]]",1
TEST_00564,"[[70, 4980]]",1
TEST_00565,"[[0, 4980]]",1
TEST_00566,"[[580, 4990]]",1
TEST_00567,"[[0, 4980]]",1
TEST_00568,"[[0, 4980]]",1
TEST_00569,"[[0, 4980]]",1
TEST_00570,"[[0, 4990]]",1
TEST_00571,"[[0, 4990]]",1
TEST_00572,"[[0, 2300]]",1
TEST_00573,"[[950, 2210]]",1
TEST_00574,"[[990, 4980]]",1
TEST_00575,"[[0, 2630]]",1
TEST_00576,"[[1260, 4980]]",1
TEST_00577,[],0
TEST_00578,"[[0, 4980]]",1
TEST_00579,"[[0, 4980]]",1
TEST_00580,"[[0, 5000]]",1
TEST_00581,"[[1120, 3120]]",1
TEST_00582,"[[0, 4980]]",1
TEST_00583,"[[440, 4980]]",1
TEST_00584,"[[0, 4990]]",1
TEST_00585,"[[100, 3770]]",1
TEST_00586,"[[0, 4980]]",1
TEST_00587,"[[890, 4990]]",1
TEST_00588,"[[2180, 5000]]",1
TEST_00589,"[[1040, 4280]]",1
TEST_00590,"[[0, 4980]]",1
TEST_00591,"[[170, 4980]]",1
TEST_00592,"[[0, 5000]]",1
TEST_00593,"[[0, 5010]]",1
TEST_00594,"[[260, 1580], [1990, 3900]]",2
TEST_00595,"[[1320, 3500]]",1
TEST_00596,"[[0, 5000]]",1
TEST_00597,"[[0, 790], [1680, 4990]]",2
TEST_00598,"[[0, 4990]]",1
TEST_00599,"[[0, 4980]]",1
TEST_00600,"[[0, 4990]]",1
TEST_00601,"[[0, 4980]]",1
TEST_00602,[],0
TEST_00603,"[[0, 4980]]",1
TEST_00604,"[[0, 4990]]",1
TEST_00605,"[[0, 4430]]",1
TEST_00606,"[[0, 5010]]",1
TEST_00607,"[[0, 660], [1030, 3050], [3870, 4980]]",3
TEST_00608,"[[0, 4990]]",1
TEST_00609,"[[390, 4290]]",1
TEST_00610,"[[1210, 4360]]",1
TEST_00611,"[[0, 530], [1110, 2060]]",2
TEST_00612,"[[130, 5010]]",1
TEST_00613,"[[1030, 5000]]",1
TEST_00614,[],0
TEST_00615,"[[0, 4980]]",1
TEST_00616,"[[0, 5010]]",1
TEST_00617,"[[0, 4980]]",1
TEST_00618,"[[0, 4980]]",1
TEST_00619,"[[0, 4980]]",1
TEST_00620,"[[0, 4980]]",1
TEST_00621,"[[510, 4990]]",1
TEST_00622,[],0
TEST_00623,"[[0, 1230], [1580, 3730], [4370, 4980]]",3
TEST_00624,"[[0, 2640]]",1
TEST_00625,"[[0, 4390]]",1
TEST_00626,[],0
TEST_00627,"[[0, 4980]]",1
TEST_00628,"[[0, 4980]]",1
TEST_00629,"[[870, 3550]]",1
TEST_00630,"[[0, 380], [660, 1690], [2410, 3320], [3600, 4980]]",4
TEST_00631,"[[1460, 4100]]",1
TEST_00632,"[[0, 4980]]",1
TEST_00633,"[[440, 990], [2870, 4980]]",2
TEST_00634,"[[0, 4980]]",1
TEST_00635,"[[900, 2220], [4030, 4980]]",2
TEST_00636,[],0
TEST_00637,"[[0, 4980]]",1
TEST_00638,"[[0, 4980]]",1
TEST_00639,[],0
TEST_00640,"[[0, 4980]]",1
TEST_00641,"[[1940, 4990]]",1
TEST_00642,"[[890, 3090], [3450, 4980]]",2
TEST_00643,"[[0, 4990]]",1
TEST_00644,"[[0, 4980]]",1
TEST_00645,"[[0, 4980]]",1
TEST_00646,[],0
TEST_00647,"[[0, 4980]]",1
TEST_00648,"[[0, 5000]]",1
TEST_00649,"[[1160, 1810], [3690, 4990]]",2
TEST_00650,"[[0, 1430]]",1
TEST_00651,"[[0, 4980]]",1
TEST_00652,"[[740, 1510], [2420, 4990]]",2
TEST_00653,"[[0, 5000]]",1
TEST_00654,"[[0, 4980]]",1
TEST_00655,"[[0, 4980]]",1
TEST_00656,[],0
TEST_00657,"[[40, 2630]]",1
TEST_00658,"[[400, 3530]]",1
TEST_00659,"[[0, 4980]]",1
TEST_00660,[],0
TEST_00661,"[[0, 4980]]",1
TEST_00662,"[[160, 5010]]",1
TEST_00663,"[[70, 4440]]",1
TEST_00664,"[[1120, 2660]]",1
TEST_00665,"[[0, 4990]]",1
TEST_00666,"[[20, 2050], [3230, 4980]]",2
TEST_00667,"[[0, 4980]]",1
TEST_00668,"[[4150, 4990]]",1
TEST_00669,"[[0, 4990]]",1
TEST_00670,"[[0, 5000]]",1
TEST_00671,"[[0, 4980]]",1
TEST_00672,"[[270, 4990]]",1
TEST_00673,[],0
TEST_00674,[],0
TEST_00675,"[[0, 4990]]",1
TEST_00676,"[[0, 4990]]",1
TEST_00677,"[[0, 4980]]",1
TEST_00678,"[[0, 4980]]",1
TEST_00679,"[[0, 4980]]",1
TEST_00680,"[[200, 4440]]",1
TEST_00681,"[[1170, 2640]]",1
TEST_00682,"[[2240, 4990]]",1
TEST_00683,"[[0, 5000]]",1
TEST_00684,[],0
TEST_00685,[],0
TEST_00686,"[[0, 2070], [2430, 3880]]",2
TEST_00687,"[[1630, 4980]]",1
TEST_00688,"[[0, 4300]]",1
TEST_00689,"[[1410, 4300]]",1
TEST_00690,"[[0, 530], [2090, 2820], [3520, 4140]]",3
TEST_00691,"[[1730, 3300]]",1
TEST_00692,"[[0, 4990]]",1
TEST_00693,"[[2170, 5000]]",1
TEST_00694,"[[1170, 4980]]",1
